,TYPE,MainBranch,Country,ConvertedCompYearly,Employment
167,Data,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,54025.0,"Employed, full-time"
170,Developer BE,I am a developer by profession,United States of America,400000.0,"Employed, full-time"
171,Testing/Apps/mobile,I am a developer by profession,United States of America,130000.0,"Employed, full-time"
172,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,136947.0,"Employed, full-time"
178,Developer BE,I am a developer by profession,Poland,41625.0,"Employed, full-time"
182,Other (please specify):,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,200000.0,"Employed, full-time"
183,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,118729.0,"Employed, full-time"
184,Developer FS,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,1130760.0,"Employed, full-time"
185,Testing/Apps/mobile,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,497532.0,"Employed, full-time"
187,Testing/Apps/mobile,I am a developer by profession,Germany,159966.0,"Independent contractor, freelancer, or self-employed"
188,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,678456.0,"Employed, full-time"
191,Developer FS,I am a developer by profession,Greece,358320.0,"Employed, full-time"
192,Data,I am a developer by profession,United States of America,110000.0,"Employed, full-time"
193,Developer BE,I am a developer by profession,United States of America,70000.0,"Employed, full-time"
196,Data,I am a developer by profession,India,58037.0,"Employed, full-time"
201,Developer FE,I am a developer by profession,Portugal,44790396.0,"Employed, full-time"
202,Data,I am a developer by profession,Netherlands,53322.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
203,Data,I am a developer by profession,France,52789.0,"Employed, full-time"
204,Developer BE,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
205,Developer FS,I am a developer by profession,United States of America,120000.0,"Employed, full-time"
207,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,60307.0,"Employed, full-time"
210,Developer FE,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
211,Developer BE,I am a developer by profession,Russian Federation,10392.0,"Employed, part-time"
212,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,27641.0,"Employed, full-time"
214,Data,I am a developer by profession,United States of America,75000.0,"Employed, full-time"
215,Manager,I am a developer by profession,Belgium,63984.0,"Employed, full-time"
217,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,213587.0,"Employed, full-time"
218,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",France,85315.0,"Employed, full-time"
221,Developer BE,I am a developer by profession,Saudi Arabia,160008.0,"Employed, full-time"
222,Developer BE,I am a developer by profession,United States of America,147000.0,"Employed, full-time"
223,Manager,I am a developer by profession,United States of America,172000.0,"Employed, full-time"
224,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,59050.0,"Employed, full-time"
225,Developer FS,I am a developer by profession,United States of America,101000.0,"Employed, full-time"
228,Manager,I am a developer by profession,United States of America,120000.0,"Employed, full-time"
232,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,160000.0,"Employed, full-time"
233,Developer FS,I am a developer by profession,United States of America,175000.0,"Employed, full-time"
234,Developer BE,I am a developer by profession,Brazil,42440.0,"Employed, full-time"
237,Manager,I am a developer by profession,Canada,136647.0,"Employed, full-time"
238,Testing/Apps/mobile,I am a developer by profession,Netherlands,62387.0,"Employed, full-time"
239,Manager,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
241,Data,"I am not primarily a developer, but I write code sometimes as part of my work",France,58654.0,"Employed, full-time"
242,Admin,"I am not primarily a developer, but I write code sometimes as part of my work",Canada,46850.0,"Employed, full-time"
243,Data,I am a developer by profession,Germany,68252.0,"Employed, full-time"
244,Testing/Apps/mobile,"I am not primarily a developer, but I write code sometimes as part of my work",Mexico,12500.0,"Employed, full-time"
245,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Spain,26128.0,"Employed, full-time"
246,Developer FS,I am a developer by profession,United States of America,75000.0,"Employed, full-time"
247,Manager,I am a developer by profession,United States of America,250000.0,"Employed, full-time"
253,Developer FS,I am a developer by profession,Netherlands,49056.0,"Employed, full-time"
254,DevOps,I am a developer by profession,Canada,75507.0,"Employed, full-time"
258,Developer BE,I am a developer by profession,Poland,27756.0,"Employed, full-time"
259,Manager,I am a developer by profession,Israel,197292.0,"Employed, full-time"
260,Developer FS,I am a developer by profession,Sweden,73140.0,"Employed, full-time"
261,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,27641.0,"Employed, full-time"
262,Other (please specify):,"I am not primarily a developer, but I write code sometimes as part of my work",Canada,43727.0,"Employed, full-time"
264,Data,I am a developer by profession,Israel,190925.0,"Employed, full-time"
266,Developer BE,I am a developer by profession,Czech Republic,114324.0,"Employed, full-time"
267,Developer FS,I am a developer by profession,Poland,50875.0,"Employed, full-time"
268,Developer FE,I am a developer by profession,Kenya,8244.0,"Employed, part-time"
271,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,96742.0,"Employed, full-time"
272,Developer FS,I am a developer by profession,Switzerland,155129.0,"Employed, full-time"
273,Educator,I am a developer by profession,United States of America,140000.0,"Employed, full-time"
274,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,125639.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
275,Developer FS,I am a developer by profession,Israel,96852.0,"Employed, full-time"
276,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,42089.0,"Employed, full-time"
277,Data,I am a developer by profession,Netherlands,93846.0,"Employed, full-time"
278,Developer FS,I am a developer by profession,United States of America,67000.0,"Employed, full-time"
279,Developer FE,I am a developer by profession,Brazil,86304.0,"Employed, full-time"
280,Developer BE,I am a developer by profession,United States of America,315000.0,"Employed, full-time"
282,Testing/Apps/mobile,I am a developer by profession,Netherlands,213287.0,"Employed, full-time"
284,Manager,I am a developer by profession,Italy,35192.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
285,Security/Cloud,"I am not primarily a developer, but I write code sometimes as part of my work",Austria,66119.0,"Employed, full-time"
287,Developer FS,I am a developer by profession,Germany,71451.0,"Employed, full-time"
288,Data,I am a developer by profession,United States of America,150000.0,"Employed, full-time"
290,Developer FS,I am a developer by profession,United States of America,83000.0,"Employed, full-time"
292,Developer FS,I am a developer by profession,Sweden,71916.0,"Employed, full-time"
294,Data,I am a developer by profession,France,34126.0,"Employed, full-time"
296,Data,I am a developer by profession,Canada,70276.0,"Employed, full-time"
297,Developer BE,I am a developer by profession,Canada,140551.0,"Employed, full-time"
298,Developer BE,I am a developer by profession,Poland,41628.0,"Employed, full-time"
299,Developer FS,I am a developer by profession,United States of America,104000.0,"Employed, full-time"
302,Developer FS,I am a developer by profession,United States of America,155000.0,"Employed, full-time"
304,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,26384.0,"Employed, full-time"
305,Developer FS,I am a developer by profession,United States of America,4500000.0,"Employed, full-time"
307,Developer BE,I am a developer by profession,United States of America,206000.0,"Employed, full-time"
308,Developer BE,I am a developer by profession,United States of America,8000000.0,"Employed, full-time"
311,Manager,I am a developer by profession,Spain,49056.0,"Employed, full-time"
312,Developer FE,I am a developer by profession,United States of America,45000.0,"Employed, full-time"
315,Data,I am a developer by profession,United States of America,130000.0,"Employed, full-time"
316,Manager,I am a developer by profession,United States of America,230000.0,"Employed, full-time"
317,Developer FS,I am a developer by profession,United States of America,155000.0,"Employed, full-time"
318,Testing/Apps/mobile,I am a developer by profession,Latvia,38392.0,"Employed, full-time"
322,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,138203.0,"Employed, full-time"
323,Developer BE,I am a developer by profession,Austria,74651.0,"Employed, full-time"
325,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,75384.0,"Employed, full-time"
330,Developer FS,I am a developer by profession,Canada,74180.0,"Employed, full-time"
331,DevOps,I am a developer by profession,United States of America,130000.0,"Employed, full-time"
333,Testing/Apps/mobile,I am a developer by profession,Israel,194303.0,"Employed, full-time"
335,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,81666.0,"Employed, full-time"
337,Testing/Apps/mobile,I am a developer by profession,United States of America,80000.0,"Employed, full-time"
340,Developer FS,I am a developer by profession,Ireland,53322.0,"Employed, full-time"
341,Manager,I am a developer by profession,France,44796.0,"Independent contractor, freelancer, or self-employed"
342,Developer FS,I am a developer by profession,South Africa,56897.0,"Employed, full-time"
344,Developer BE,I am a developer by profession,United States of America,240000.0,"Employed, full-time"
346,Data,I am a developer by profession,Germany,44790.0,"Employed, full-time"
347,Manager,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
348,Educator,I am a developer by profession,United States of America,75000.0,"Employed, full-time"
351,Testing/Apps/mobile,I am a developer by profession,Austria,43512.0,"Employed, full-time"
352,Developer FE,I am a developer by profession,Netherlands,51192.0,"Employed, part-time"
354,Developer FS,I am a developer by profession,Sweden,68256.0,"Employed, full-time"
356,Testing/Apps/mobile,I am a developer by profession,United States of America,120000.0,"Employed, full-time"
357,Manager,I am a developer by profession,United States of America,160000.0,"Employed, full-time"
358,Testing/Apps/mobile,I am a developer by profession,Thailand,45899.0,"Employed, full-time"
359,Testing/Apps/mobile,I am a developer by profession,United States of America,175000.0,"Employed, full-time"
360,Developer FS,I am a developer by profession,China,75684.0,"Employed, full-time"
361,Developer FS,I am a developer by profession,United States of America,150000.0,"Employed, full-time"
362,Developer BE,I am a developer by profession,Sweden,60948.0,"Employed, full-time"
363,Developer FS,I am a developer by profession,United States of America,120000.0,"Employed, full-time"
364,Testing/Apps/mobile,I am a developer by profession,United States of America,210000.0,"Employed, full-time"
366,Educator,I am a developer by profession,United States of America,350000.0,"Employed, full-time"
367,Data,I am a developer by profession,United States of America,109000.0,"Employed, full-time"
368,Developer FS,I am a developer by profession,United States of America,70000.0,"Employed, full-time"
370,Developer FS,I am a developer by profession,United States of America,150000.0,"Employed, full-time"
372,Data,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
373,Developer FS,I am a developer by profession,Brazil,74784.0,"Employed, full-time"
374,Developer FS,I am a developer by profession,Montenegro,13560.0,"Employed, full-time"
378,Developer FE,I am a developer by profession,Italy,14460.0,"Employed, full-time"
379,Testing/Apps/mobile,I am a developer by profession,Germany,153564.0,"Independent contractor, freelancer, or self-employed"
381,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,96000.0,"Employed, full-time"
382,Developer BE,I am a developer by profession,United States of America,52800.0,"Employed, full-time"
383,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,50256.0,"Employed, full-time"
385,Developer FS,I am a developer by profession,United States of America,160000.0,"Employed, full-time"
386,Developer FS,I am a developer by profession,Finland,42228.0,"Employed, full-time"
387,Developer FS,I am a developer by profession,United States of America,124000.0,"Employed, full-time"
388,Manager,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,125639.0,"Employed, full-time"
390,Developer BE,I am a developer by profession,France,44790.0,"Employed, full-time"
391,Manager,I am a developer by profession,United States of America,205000.0,"Employed, full-time"
392,Developer FS,I am a developer by profession,Slovakia,53748.0,"Employed, full-time"
393,Developer FS,I am a developer by profession,Netherlands,54384.0,"Employed, full-time"
394,Developer BE,I am a developer by profession,United States of America,100000.0,"Employed, full-time"
395,Developer FS,I am a developer by profession,Ireland,69318.0,"Independent contractor, freelancer, or self-employed"
396,Developer FS,I am a developer by profession,Germany,21504.0,"Independent contractor, freelancer, or self-employed;Employed, part-time"
397,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,55281.0,"Employed, full-time"
400,Data,"I am not primarily a developer, but I write code sometimes as part of my work",France,52255.0,"Employed, full-time"
402,Developer FS,I am a developer by profession,Israel,111204.0,"Employed, full-time"
403,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,56538.0,"Employed, full-time"
404,Developer FS,I am a developer by profession,United States of America,76000.0,"Employed, full-time"
405,Developer FS,I am a developer by profession,United States of America,115000.0,"Employed, full-time"
406,Manager,I am a developer by profession,United States of America,200000.0,"Employed, full-time"
408,Game Dev,I am a developer by profession,Japan,252000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
410,Developer BE,I am a developer by profession,Denmark,103248.0,"Employed, full-time"
411,Developer FS,I am a developer by profession,Germany,40956.0,"Employed, full-time"
419,Developer FE,I am a developer by profession,United States of America,86000.0,"Employed, full-time"
422,Developer FS,I am a developer by profession,United States of America,165000.0,"Employed, full-time"
423,Educator,I am a developer by profession,United States of America,350000.0,"Independent contractor, freelancer, or self-employed"
424,Manager,I am a developer by profession,Belgium,92780.0,"Employed, full-time"
426,Developer BE,I am a developer by profession,United States of America,160000.0,"Employed, full-time"
427,DevOps,I am a developer by profession,United States of America,145000.0,"Employed, full-time"
429,Developer FS,I am a developer by profession,United States of America,80000.0,"Employed, full-time"
431,Testing/Apps/mobile,I am a developer by profession,Spain,31993.0,"Employed, full-time"
432,Developer FE,I am a developer by profession,United States of America,96300.0,"Employed, full-time"
433,Educator,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,62820.0,"Independent contractor, freelancer, or self-employed"
435,Developer BE,I am a developer by profession,Germany,57588.0,"Employed, full-time"
436,Developer FS,I am a developer by profession,United States of America,55000.0,"Employed, full-time"
439,Manager,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,126142.0,"Employed, full-time"
440,Data,I am a developer by profession,United States of America,158000.0,"Employed, full-time"
441,Testing/Apps/mobile,I am a developer by profession,United States of America,350000.0,"Employed, full-time"
443,Developer FS,I am a developer by profession,United States of America,90000.0,"Employed, full-time"
445,Developer FS,I am a developer by profession,Spain,25594.0,"Employed, full-time"
446,Data,I am a developer by profession,Spain,21329.0,"Employed, full-time"
447,Developer FS,I am a developer by profession,United States of America,150000.0,"Employed, full-time"
449,Educator,I am a developer by profession,Germany,127972.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
454,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,87948.0,"Employed, full-time"
458,Data,I am a developer by profession,Sweden,92436.0,"Employed, full-time"
460,Developer BE,I am a developer by profession,United States of America,75000.0,"Employed, full-time"
463,Data,I am a developer by profession,Israel,150660.0,"Employed, full-time"
465,Other (please specify):,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,108050.0,"Employed, full-time"
466,Developer BE,I am a developer by profession,France,36259.0,"Employed, full-time"
467,Developer FS,I am a developer by profession,Canada,89016.0,"Employed, full-time"
468,Developer FS,I am a developer by profession,United States of America,120000.0,"Employed, full-time"
469,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,100511.0,"Employed, full-time"
470,Manager,I am a developer by profession,United States of America,140000.0,"Employed, full-time"
473,Developer BE,I am a developer by profession,Netherlands,42228.0,"Employed, full-time"
474,Developer FS,I am a developer by profession,United States of America,320000.0,"Employed, full-time"
475,Developer BE,I am a developer by profession,Australia,106157.0,"Employed, full-time"
478,Testing/Apps/mobile,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,75384.0,"Employed, part-time"
481,Developer FS,I am a developer by profession,Greece,17063.0,"Employed, full-time"
483,Developer BE,I am a developer by profession,United States of America,200000.0,"Employed, full-time"
485,Developer BE,I am a developer by profession,Czech Republic,24420.0,"Employed, full-time"
486,Developer FS,I am a developer by profession,Viet Nam,6216.0,"Employed, full-time"
488,Developer FS,I am a developer by profession,United States of America,160000.0,"Employed, full-time"
490,Developer FS,I am a developer by profession,United States of America,110000.0,"Employed, full-time"
491,Developer BE,I am a developer by profession,Poland,27750.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
493,Developer FS,I am a developer by profession,Netherlands,62712.0,"Employed, full-time"
494,Educator,I am a developer by profession,Germany,63986.0,"Employed, full-time"
496,Developer BE,I am a developer by profession,Australia,67940.0,"Employed, full-time"
497,DevOps,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,125639.0,"Employed, full-time"
498,Developer BE,I am a developer by profession,United States of America,300000.0,"Employed, full-time"
499,Other (please specify):,I am a developer by profession,United States of America,300000.0,"Employed, full-time"
500,Developer FS,I am a developer by profession,United States of America,53000.0,"Employed, full-time"
501,Testing/Apps/mobile,I am a developer by profession,Switzerland,110659.0,"Employed, full-time"
507,Developer BE,I am a developer by profession,United States of America,72000.0,"Employed, full-time"
508,Testing/Apps/mobile,I am a developer by profession,Canada,101509.0,"Independent contractor, freelancer, or self-employed"
509,Data,I am a developer by profession,Canada,62467.0,"Employed, full-time"
510,Data,I am a developer by profession,United States of America,50000.0,"Employed, full-time"
512,Developer FS,I am a developer by profession,France,106644.0,"Employed, full-time"
514,Developer BE,I am a developer by profession,United States of America,1740000.0,"Employed, full-time"
515,Developer FS,I am a developer by profession,Canada,54659.0,"Employed, full-time"
520,Admin,"I am not primarily a developer, but I write code sometimes as part of my work",Finland,38388.0,"Employed, full-time"
524,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,60307.0,"Employed, full-time"
525,Testing/Apps/mobile,I am a developer by profession,India,30948.0,"Employed, full-time"
527,DevOps,I am a developer by profession,United States of America,262000.0,"Employed, full-time"
528,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,50256.0,"Employed, full-time"
534,Developer FS,I am a developer by profession,Canada,58563.0,"Employed, full-time"
536,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,56538.0,"Employed, full-time"
538,Developer FS,I am a developer by profession,Portugal,50123.0,"Employed, full-time"
539,Developer FS,I am a developer by profession,United States of America,200000.0,"Employed, full-time"
543,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,113075.0,"Employed, full-time"
544,Testing/Apps/mobile,I am a developer by profession,Argentina,13128.0,"Employed, full-time"
546,Developer BE,I am a developer by profession,Hungary,23436.0,"Employed, full-time"
547,Developer FS,I am a developer by profession,United States of America,90000.0,"Employed, full-time"
549,Developer BE,I am a developer by profession,Germany,614268.0,"Employed, full-time"
552,Developer FS,I am a developer by profession,Tunisia,7908.0,"Employed, full-time"
553,Developer BE,I am a developer by profession,United States of America,70000.0,"Employed, full-time"
554,Developer FS,I am a developer by profession,United States of America,171000.0,"Employed, full-time"
556,Developer FS,I am a developer by profession,United States of America,6240000.0,"Employed, full-time"
557,Educator,"I am not primarily a developer, but I write code sometimes as part of my work",France,26661.0,"Employed, full-time"
558,Developer FS,I am a developer by profession,United States of America,7750000.0,"Employed, full-time"
559,Data,I am a developer by profession,United States of America,86000.0,"Employed, full-time"
560,Developer BE,I am a developer by profession,United States of America,105000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
561,Developer FS,I am a developer by profession,Germany,47990.0,"Employed, full-time"
562,Developer FS,I am a developer by profession,United States of America,78000.0,"Employed, full-time"
563,Developer FS,I am a developer by profession,France,72518.0,"Employed, full-time"
565,Developer FS,I am a developer by profession,United States of America,187000.0,"Employed, full-time"
570,Testing/Apps/mobile,I am a developer by profession,India,64486.0,"Employed, full-time"
571,Testing/Apps/mobile,I am a developer by profession,United States of America,78337.0,"Employed, full-time"
572,Researching,"I am not primarily a developer, but I write code sometimes as part of my work",Poland,27756.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
574,Testing/Apps/mobile,I am a developer by profession,Australia,81387.0,"Employed, full-time"
576,Game Dev,I am a developer by profession,Hungary,23436.0,"Employed, full-time"
577,Developer BE,I am a developer by profession,United States of America,215000.0,"Employed, full-time"
578,Testing/Apps/mobile,I am a developer by profession,Canada,85112.0,"Employed, full-time"
579,Developer FS,I am a developer by profession,Canada,50755.0,"Employed, full-time"
580,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,150000.0,"Employed, full-time"
581,Educator,I am a developer by profession,France,47990.0,"Employed, full-time"
583,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,81666.0,"Employed, full-time"
584,Developer FS,I am a developer by profession,Germany,170630.0,"Employed, full-time"
585,Testing/Apps/mobile,I am a developer by profession,United States of America,162373.0,"Employed, full-time"
